# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "--countReadPairs" "-t" "exon" "-O" "-g" "Parent" "-a" "/scratch/ys33815/endo6_38/b73bam/Zm-B73-REFERENCE-NAM-5.0_Zm00001eb.1.gff3" "-o" "../endo6_38_counts_dec.txt" "SRR1169626Aligned.sortedByCoord.out.bam" "SRR1169633Aligned.sortedByCoord.out.bam" "SRR1169641Aligned.sortedByCoord.out.bam" "SRR1169627Aligned.sortedByCoord.out.bam" "SRR1169634Aligned.sortedByCoord.out.bam" "SRR1169642Aligned.sortedByCoord.out.bam" "SRR1169628Aligned.sortedByCoord.out.bam" "SRR1169635Aligned.sortedByCoord.out.bam" "SRR1169643Aligned.sortedByCoord.out.bam" "SRR1169629Aligned.sortedByCoord.out.bam" "SRR1169636Aligned.sortedByCoord.out.bam" "SRR1169644Aligned.sortedByCoord.out.bam" "SRR1169630Aligned.sortedByCoord.out.bam" "SRR1169637Aligned.sortedByCoord.out.bam" "SRR1169645Aligned.sortedByCoord.out.bam" "SRR1169631Aligned.sortedByCoord.out.bam" "SRR1169639Aligned.sortedByCoord.out.bam" "SRR1169646Aligned.sortedByCoord.out.bam" "SRR1169632Aligned.sortedByCoord.out.bam" "SRR1169640Aligned.sortedByCoord.out.bam" "SRR1169647Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR1169626Aligned.sortedByCoord.out.bam	SRR1169633Aligned.sortedByCoord.out.bam	SRR1169641Aligned.sortedByCoord.out.bam	SRR1169627Aligned.sortedByCoord.out.bam	SRR1169634Aligned.sortedByCoord.out.bam	SRR1169642Aligned.sortedByCoord.out.bam	SRR1169628Aligned.sortedByCoord.out.bam	SRR1169635Aligned.sortedByCoord.out.bam	SRR1169643Aligned.sortedByCoord.out.bam	SRR1169629Aligned.sortedByCoord.out.bam	SRR1169636Aligned.sortedByCoord.out.bam	SRR1169644Aligned.sortedByCoord.out.bam	SRR1169630Aligned.sortedByCoord.out.bam	SRR1169637Aligned.sortedByCoord.out.bam	SRR1169645Aligned.sortedByCoord.out.bam	SRR1169631Aligned.sortedByCoord.out.bam	SRR1169639Aligned.sortedByCoord.out.bam	SRR1169646Aligned.sortedByCoord.out.bam	SRR1169632Aligned.sortedByCoord.out.bam	SRR1169640Aligned.sortedByCoord.out.bam	SRR1169647Aligned.sortedByCoord.out.bam
Zm00001eb000110_T001	chr1;chr1	246422;246997	246545;247242	-;-	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001eb000120_T001	chr1	315219	315846	+	628	0	0	1	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0
Zm00001eb000140_T001	chr1;chr1	325307;326618	325440;326897	-;-	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001eb000150_T001	chr1	328087	328525	+	439	0	1	0	0	0	3	3	0	0	1	0	5	0	2	4	0	0	28	0	0	61
Zm00001eb000170_T003	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	550834;552448;552723;554490;555073;555224;555438;555677;564251;564481	552318;552606;552810;554627;555153;555338;555583;555748;564378;564766	-;-;-;-;-;-;-;-;-;-	2698	151	137	45	119	199	90	204	42	68	170	105	177	62	98	167	181	111	165	55	59	253
Zm00001eb000170_T004	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	551305;552723;554490;555073;555224;555438;555677;564251;564481	552606;552810;554627;555153;555338;555583;555733;564378;564761	-;-;-;-;-;-;-;-;-	2336	151	139	45	119	201	89	207	40	69	171	102	175	62	99	167	181	118	162	55	60	253
Zm00001eb000170_T002	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	550834;552448;552723;554490;555073;555224;555438;555677;564251;564481	552318;552606;552810;554627;555153;555338;555583;555733;564378;564766	-;-;-;-;-;-;-;-;-;-	2683	151	137	45	119	199	90	204	42	68	170	102	177	62	98	167	181	111	165	55	59	250
Zm00001eb000170_T001	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	550834;552448;552723;554490;555073;555224;555438;555677;564251;564481	552318;552606;552810;554541;555146;555338;555583;555733;564378;564766	-;-;-;-;-;-;-;-;-;-	2590	150	137	45	119	199	90	204	42	68	170	102	177	62	98	167	181	111	165	55	59	250
Zm00001eb000180_T001	chr1;chr1	551078;551937	551831;552061	+;+	879	1	30	7	1	17	9	9	3	8	15	7	20	2	4	15	5	13	22	3	5	30
Zm00001eb000200_T001	chr1	679957	680801	+	845	67	77	250	33	138	2105	287	52	2250	110	81	5344	57	177	4858	158	617	7992	25	72	16977
Zm00001eb000190_T001	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	679957;681431;681573;681813;682131;682727;682974;683192;683409;684080;684272;684482;684854;685196;685451;686044;688253;691517;691726;692081;702348;702585;702968;703310;703511;704913;705471;705693;706031;706481;706769;707335;707527;707691	681348;681501;681724;682059;682190;682814;683104;683335;683459;684154;684379;684529;685003;685296;685598;686208;688373;691644;691956;692218;702497;702809;703206;703423;703779;704994;705608;705843;706360;706688;707235;707441;707611;708016	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6640	1862	668	420	1269	898	2322	2342	235	2673	634	603	6067	317	536	5636	1028	1126	8962	310	450	18717
Zm00001eb000190_T003	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	685301;685451;686044;688253;691517;691726;692081;702348;702585;702968;703310;703511;704913;705471;705693;706031;706481;706769;707335;707527;707691	685317;685598;686208;688373;691644;691956;692218;702497;702809;703206;703423;703779;704994;705608;705843;706360;706688;707235;707441;707611;708016	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3839	980	346	90	648	421	85	1084	108	206	263	321	186	130	173	202	443	272	115	159	203	151
Zm00001eb000190_T002	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	680904;681431;681573;681813;682131;682727;682974;683192;683409;684080;684272;684482;684854;685196;685451;686044;688253;691517;691726;692081;702348;702585;702968;703310;703511;704913;705471;705693;706031;706481;706769;707335;707527;707691	681348;681501;681724;682059;682190;682814;683104;683335;683455;684154;684379;684529;685003;685296;685598;686208;688373;691644;691956;692218;702497;702809;703206;703423;703779;704994;705608;705843;706360;706688;707235;707441;707611;708016	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5689	1820	598	175	1251	765	230	2080	186	437	539	529	753	268	366	846	880	516	1032	288	379	1849
Zm00001eb000190_T004	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	702087;702585;702968;703310;703511;704913;705471;705693;706031;706481;706769;707335;707527;707691	702497;702809;703206;703423;703779;704994;705608;705843;706360;706688;707235;707441;707611;707899	-;-;-;-;-;-;-;-;-;-;-;-;-;-	3035	596	213	73	380	288	47	637	69	143	160	209	117	92	138	138	297	193	76	112	146	102
Zm00001eb000210_T001	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1003108;1003576;1003815;1004036;1004249;1004492;1004838;1005131;1005714;1006459;1007203;1007384;1011666;1011890;1012748;1012943;1013095;1013330;1013632	1003463;1003695;1003931;1004173;1004383;1004671;1005044;1005250;1005833;1006581;1007307;1007528;1011827;1012128;1012780;1013024;1013255;1013545;1014318	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3446	147	130	15	89	131	37	154	36	58	61	92	85	32	72	93	106	81	98	23	53	213
Zm00001eb000210_T002	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1003108;1003576;1003796;1004036;1004249;1004492;1004838;1005131;1005714;1006459;1007203;1007384;1011666;1011890;1012748;1012943;1013095;1013330;1013632	1003463;1003695;1003931;1004173;1004383;1004671;1005044;1005250;1005833;1006581;1007307;1007528;1011827;1012128;1012780;1013024;1013255;1013545;1014318	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3465	147	130	15	89	131	37	154	36	58	61	92	85	32	72	93	106	81	98	23	53	213
Zm00001eb000220_T002	chr1;chr1	1018151;1019151	1018612;1019859	+;+	1171	64	95	24	53	90	39	88	21	74	61	64	160	33	52	132	65	68	121	42	46	202
Zm00001eb000220_T003	chr1;chr1;chr1	1018151;1019151;1019526	1018612;1019438;1019724	+;+;+	949	64	95	24	52	90	38	86	20	72	60	64	160	33	52	131	65	68	121	42	46	200
Zm00001eb000220_T001	chr1;chr1;chr1;chr1	1018151;1019151;1019526;1020270	1018612;1019438;1019606;1020839	+;+;+;+	1401	79	108	32	63	121	77	105	23	101	74	74	201	33	66	181	74	88	172	49	61	314
Zm00001eb000230_T002	chr1;chr1;chr1;chr1	1022421;1022790;1022976;1023120	1022680;1022874;1023027;1023238	+;+;+;+	516	57	91	58	28	143	115	170	51	124	128	90	237	35	117	203	220	129	97	43	80	114
Zm00001eb000230_T001	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1022421;1022790;1022976;1023120;1023218;1023625;1023835;1024181;1024357;1024786;1024997;1025168	1022680;1022874;1023027;1023140;1023271;1023675;1023897;1024246;1024395;1024908;1025089;1026593	+;+;+;+;+;+;+;+;+;+;+;+	2333	260	710	265	168	817	701	824	253	736	784	605	965	285	556	710	881	758	524	254	374	446
Zm00001eb000240_T002	chr1;chr1	1025166;1027614	1027117;1028056	-;-	2395	106	323	135	87	349	315	343	112	348	348	314	405	147	244	326	322	334	285	115	173	196
Zm00001eb000240_T001	chr1;chr1;chr1	1025166;1026934;1027614	1026831;1027117;1028066	-;-;-	2303	106	323	135	87	349	315	343	112	348	348	314	405	147	244	326	322	334	285	115	173	196
Zm00001eb000240_T003	chr1;chr1;chr1	1025166;1027614;1027929	1027117;1027827;1028056	-;-;-	2294	106	323	135	87	349	315	343	112	348	348	314	405	147	244	326	322	334	285	115	173	196
Zm00001eb000250_T001	chr1	1035114	1035395	+	282	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0
Zm00001eb000270_T001	chr1;chr1;chr1;chr1	1060487;1060971;1063179;1063401	1060563;1061013;1063283;1063436	-;-;-;-	261	19	21	3	9	15	6	26	2	20	11	6	12	4	4	21	21	13	21	3	5	63
Zm00001eb000290_T001	chr1;chr1;chr1;chr1	1186473;1188640;1188752;1190657	1186656;1188650;1188883;1190677	+;+;+;+	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001eb000300_T001	chr1;chr1;chr1;chr1;chr1	1198867;1199470;1199585;1200343;1200454	1198943;1199497;1199638;1200378;1200495	-;-;-;-;-	237	45	62	12	31	72	7	100	16	44	57	47	54	5	27	48	93	39	42	20	27	45
Zm00001eb000310_T001	chr1;chr1;chr1;chr1;chr1;chr1;chr1	1201797;1202110;1202973;1209007;1209412;1209627;1209835	1201845;1202203;1203069;1209101;1209520;1209641;1210068	-;-;-;-;-;-;-	693	20	33	8	11	43	16	28	14	23	23	27	29	8	22	30	48	38	24	14	16	47
Zm00001eb000310_T002	chr1;chr1;chr1;chr1	1209036;1209412;1209627;1209835	1209115;1209520;1209641;1210068	-;-;-;-	438	4	10	1	3	10	2	9	2	3	5	9	5	3	8	7	12	8	8	2	4	18
Zm00001eb000320_T002	chr1;chr1;chr1;chr1	1217679;1218621;1221521;1221845	1218409;1218878;1221747;1222212	-;-;-;-	1584	353	392	94	195	498	280	979	126	357	530	323	710	247	364	739	548	443	1087	168	204	2550
Zm00001eb000320_T001	chr1;chr1;chr1	1217679;1221521;1221845	1218409;1221747;1222212	-;-;-	1326	338	372	90	179	464	256	885	119	323	499	297	653	223	332	689	511	407	1016	157	197	2435
Zm00001eb000330_T001	chr1;chr1;chr1;chr1	1222255;1224041;1224262;1225435	1223256;1224157;1224405;1227093	-;-;-;-	2922	158	19	8	71	18	13	92	10	33	15	37	75	8	21	74	29	28	86	7	25	150
Zm00001eb000340_T001	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1483183;1484157;1484547;1484867;1485291;1485476;1485678;1486044;1486418;1486709;1486928;1487696;1489677;1489863;1490348;1490687;1490878;1491054;1491278;1491468;1491840;1492017;1492240;1492555;1492784;1492965;1493139;1493363;1495040;1495309;1495619;1495801;1496638;1496831;1497018;1497706;1513092;1513280;1513521;1514114;1514335;1515034;1515167;1515395;1521634;1521868;1522139;1522340;1523009;1523331;1523513	1483440;1484463;1484772;1485206;1485404;1485604;1485854;1486235;1486555;1486828;1487172;1487799;1489771;1490099;1490539;1490783;1490975;1491199;1491386;1491614;1491887;1492145;1492479;1492701;1492869;1493070;1493234;1493515;1495222;1495544;1495724;1495920;1496682;1496908;1497134;1497832;1513192;1513408;1513589;1514260;1514472;1515078;1515313;1515456;1521787;1522059;1522243;1522471;1523257;1523432;1523873	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7621	2969	3202	579	2254	3630	678	4513	1019	1657	1940	2393	1708	969	1319	1249	3838	1810	1011	1367	1095	1182
Zm00001eb000340_T002	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1483183;1484157;1484547;1484867;1485291;1485476;1485687;1486044;1486418;1486709;1486928;1487696;1489677;1489863;1490348;1490687;1490878;1491054;1491278;1491468;1491840;1492017;1492240;1492555;1492784;1492965;1493139;1493363;1495040;1495309;1495619;1495801;1496638;1496831;1497018;1497706;1513092;1513280;1513521;1514114;1514335;1515034;1515167;1515395;1521634;1521868;1522139;1522340;1523009;1523331;1523513	1483440;1484463;1484772;1485206;1485404;1485604;1485854;1486235;1486555;1486828;1487172;1487799;1489771;1490099;1490539;1490783;1490975;1491199;1491386;1491614;1491887;1492145;1492479;1492701;1492869;1493070;1493234;1493515;1495222;1495544;1495724;1495920;1496682;1496908;1497134;1497832;1513192;1513408;1513589;1514260;1514472;1515078;1515313;1515456;1521787;1522059;1522243;1522471;1523257;1523432;1523873	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7612	2969	3202	579	2254	3630	678	4513	1019	1657	1940	2393	1708	969	1319	1249	3838	1810	1011	1367	1095	1182
Zm00001eb000360_T001	chr1;chr1	1538240;1538624	1538511;1538884	+;+	533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001eb000370_T001	chr1;chr1	1601134;1602075	1601977;1602423	-;-	1193	0	5	2	0	0	28	3	4	11	2	3	2	2	43	21	0	27	14	1	17	10
Zm00001eb000380_T001	chr1	1706577	1707999	+	1423	0	42	33	5	73	116	13	41	254	20	42	272	14	71	95	14	112	41	4	17	47
Zm00001eb000390_T001	chr1;chr1;chr1	1807198;1807711;1808563	1807615;1808297;1809676	+;+;+	2119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001eb000400_T001	chr1	1824727	1826249	+	1523	2	0	0	0	0	1	0	0	2	2	0	0	1	0	4	3	4	2	0	0	4
Zm00001eb000410_T001	chr1	1825973	1827696	-	1724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Zm00001eb000420_T001	chr1;chr1	1832425;1833901	1832989;1834566	-;-	1231	840	321	51	627	344	80	1449	61	186	295	247	375	276	263	303	307	248	406	129	104	759
Zm00001eb000420_T004	chr1;chr1;chr1	1832425;1833901;1834237	1832989;1834050;1834449	-;-;-	928	837	321	51	626	343	80	1446	61	183	295	247	375	276	263	302	306	248	406	129	104	759
Zm00001eb000420_T003	chr1;chr1;chr1	1832425;1833901;1834255	1832989;1833996;1834556	-;-;-	963	835	320	51	617	340	80	1440	61	185	292	247	375	276	260	301	303	248	405	128	103	749
Zm00001eb000420_T002	chr1;chr1;chr1	1832425;1833901;1834147	1832989;1833996;1834556	-;-;-	1071	839	321	51	627	343	80	1446	61	186	295	247	375	276	262	303	307	248	406	129	104	757
Zm00001eb000430_T001	chr1	1929337	1930143	-	807	3	106	30	22	218	130	283	89	175	139	44	183	118	66	81	155	182	124	6	12	261
Zm00001eb000440_T003	chr1;chr1	1929372;1929726	1929584;1930319	+;+	807	3	108	30	22	219	130	287	90	175	140	44	184	118	66	81	155	182	127	6	12	261
Zm00001eb000440_T001	chr1;chr1	1929358;1929747	1929593;1930319	+;+	809	3	108	30	22	219	130	287	90	175	140	44	184	118	66	81	155	182	127	6	12	261
Zm00001eb000440_T002	chr1	1929360	1930319	+	960	3	108	30	22	219	130	287	90	175	140	44	184	118	66	81	155	182	127	6	12	261
Zm00001eb000450_T001	chr1	1932708	1933552	-	845	0	15	14	0	22	44	9	36	58	9	22	78	3	14	10	18	63	17	2	10	9
Zm00001eb000460_T001	chr1	2009997	2012200	-	2204	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
Zm00001eb000470_T001	chr1	2010318	2012354	+	2037	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
Zm00001eb000480_T003	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	2017706;2018238;2018439;2022493;2022696;2022957;2023139;2023524;2024790	2018144;2018321;2018797;2022600;2022848;2023052;2023223;2024523;2024876	-;-;-;-;-;-;-;-;-	2411	3499	4380	1166	1749	5210	2080	4641	1018	4147	4088	3214	4802	1989	3045	3828	5761	3606	3071	2165	2235	3642
Zm00001eb000480_T001	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	2017706;2018238;2018439;2018678;2022493;2022696;2022957;2023139;2023524;2024621;2024790	2018144;2018321;2018564;2018797;2022600;2022848;2023052;2023223;2024523;2024701;2024879	-;-;-;-;-;-;-;-;-;-;-	2382	3500	4382	1166	1749	5210	2080	4640	1018	4147	4088	3214	4804	1989	3045	3828	5762	3607	3072	2165	2236	3642
Zm00001eb000480_T002	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	2017706;2018238;2018439;2018678;2022493;2022696;2022957;2023139;2023524;2024790	2018144;2018321;2018564;2018797;2022600;2022848;2023052;2023223;2024523;2024876	-;-;-;-;-;-;-;-;-;-	2298	3499	4380	1166	1749	5210	2080	4640	1018	4147	4088	3214	4802	1989	3045	3828	5761	3606	3071	2165	2235	3642
Zm00001eb000480_T004	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	2017706;2018238;2018439;2018678;2022493;2022696;2022957;2023139;2023524;2024621	2018144;2018321;2018564;2018797;2022600;2022848;2023052;2023223;2024523;2024822	-;-;-;-;-;-;-;-;-;-	2413	3500	4382	1166	1749	5210	2080	4640	1018	4147	4088	3214	4804	1989	3045	3828	5762	3607	3072	2165	2236	3642
Zm00001eb000490_T003	chr1;chr1	2095539;2096131	2096041;2097445	+;+	1818	3829	325	111	1701	373	166	1551	63	231	370	406	293	216	371	221	359	357	257	119	272	326
Zm00001eb000490_T001	chr1;chr1;chr1	2095539;2096131;2096613	2096041;2096537;2097445	+;+;+	1743	3829	325	111	1701	373	166	1551	63	231	370	406	293	216	371	221	359	357	257	119	272	326
Zm00001eb000490_T002	chr1;chr1	2095539;2096259	2096041;2097445	+;+	1690	3829	325	111	1699	373	166	1550	63	231	370	406	291	216	371	217	359	356	257	119	272	325
Zm00001eb000500_T001	chr1;chr1;chr1	2099970;2100691;2103844	2100493;2102511;2104244	-;-;-	2746	151	180	32	101	213	27	231	45	90	103	156	69	63	98	57	125	107	63	45	64	79
Zm00001eb000500_T003	chr1;chr1	2099974;2103844	2102511;2104159	-;-	2854	150	180	32	101	213	27	231	45	90	103	156	70	63	98	57	126	108	63	45	64	79
Zm00001eb000500_T002	chr1	2099974	2104170	-	4197	152	180	32	101	219	27	231	45	90	104	156	70	65	98	58	128	108	63	47	64	79
Zm00001eb000510_T001	chr1;chr1;chr1;chr1	2144815;2145724;2146036;2146299	2145654;2145930;2146203;2147163	-;-;-;-	2080	17	0	0	7	10	4	4	0	3	2	3	21	1	5	9	0	7	17	2	1	56
Zm00001eb000510_T002	chr1;chr1;chr1;chr1	2144879;2145724;2146036;2146299	2145654;2145902;2146203;2147154	-;-;-;-	1979	17	0	0	7	10	4	4	0	3	2	3	21	1	5	9	0	7	17	2	1	56
